# ASCII file created 2001/8/19 (16:50:52)  

[ Rich Calibrater Parameters Setup ]

Sector  Row     Column
6       96      96

[ Rich Calibrater Parameters: Sector 0 ]

Row	Column	Slope	Offset	Sigma	
78	4	1	43.6888	0.925813	
75	5	1	55.8633	0.935308	
76	5	1	58.2194	0.966459	
77	5	1	35.0299	0.943586	
78	5	1	64.8427	0.910829	
79	5	1	52.7368	1.00955	
72	6	1	80.5578	1.0597	
73	6	1	66.877	0.975436	
74	6	1	53.7111	1.06252	
75	6	1	57.1926	1.08139	
76	6	1	53.8333	0.958589	
77	6	1	62.8272	0.929968	
78	6	1	52.8909	0.976155	
79	6	1	54.4237	1.05251	
70	7	1	71.8697	0.98067	
71	7	1	64.2824	0.929931	
72	7	1	68.4506	0.946019	
73	7	1	80.433	0.924374	
74	7	1	54.0485	0.959646	
75	7	1	53.3395	1.06972	
76	7	1	62.3887	0.920378	
77	7	1	72.9753	1.01155	
78	7	1	80.9163	0.940957	
79	7	1	41.2297	0.92606	
80	7	1	50.7088	0.969707	
67	8	1	33.2695	0.930544	
68	8	1	69.434	0.892345	
69	8	1	68.3003	0.984059	
70	8	1	61.3776	0.904825	
71	8	1	68.2449	0.866308	
72	8	1	87.0226	0.95216	
73	8	1	51.7376	0.892551	
74	8	1	57.59	0.947923	
75	8	1	58.0373	0.950166	
76	8	1	41.113	0.932432	
77	8	1	58.7508	0.941407	
78	8	1	54.883	0.947795	
79	8	1	42.4974	0.885315	
80	8	1	36.6846	0.98496	
65	9	1	54.7661	0.879029	
66	9	1	62.856	0.914857	
67	9	1	57.3062	0.94578	
68	9	1	60.2143	0.923302	
69	9	1	62.8254	0.946398	
70	9	1	53.386	0.893511	
71	9	1	69.7698	0.952902	
72	9	1	72.0338	1.11762	
73	9	1	78.6363	0.886899	
74	9	1	51.642	1.06865	
75	9	1	61.997	0.911084	
76	9	1	56.9784	1.12371	
77	9	1	49.7476	0.86328	
78	9	1	61.5384	0.875707	
79	9	1	39.4221	0.890084	
80	9	1	45.4177	1.04051	
62	10	1	49.3557	0.896753	
63	10	1	53.6299	0.892328	
64	10	1	34.1466	0.938455	
65	10	1	40.6246	0.895714	
66	10	1	44.1177	0.919718	
67	10	1	52.5515	0.8589	
68	10	1	53.9246	0.926896	
69	10	1	58.7137	1.00298	
70	10	1	73.3481	0.906634	
71	10	1	69.2388	0.927418	
72	10	1	61.7127	0.977057	
73	10	1	65.1213	0.93574	
74	10	1	57.3156	0.857984	
75	10	1	50.932	0.939044	
76	10	1	53.2802	0.912485	
77	10	1	75.3788	0.849903	
78	10	1	37.1284	0.886634	
79	10	1	44.0914	0.779481	
80	10	1	56.7317	0.989116	
81	10	1	31.8156	1.00014	
60	11	1	55.3237	0.913557	
61	11	1	55.3248	0.873935	
62	11	1	36.2543	0.999882	
63	11	1	54.636	0.946101	
64	11	1	62.9213	1.11681	
65	11	1	50.297	0.905326	
66	11	1	47.3304	0.878006	
67	11	1	36.9572	0.874051	
68	11	1	70.5096	0.929622	
69	11	1	70.2591	0.980755	
70	11	1	62.6318	0.851291	
71	11	1	74.7356	0.937026	
72	11	1	56.6701	0.867144	
73	11	1	69.1313	0.915886	
74	11	1	53.6333	0.898047	
75	11	1	39.605	0.957906	
76	11	1	72.4872	0.920325	
77	11	1	55.2601	0.915785	
78	11	1	40.4247	0.954212	
79	11	1	54.3697	1.0342	
80	11	1	67.332	0.904176	
81	11	1	56.1541	1.00028	
58	12	1	55.548	0.984666	
59	12	1	42.3642	0.999282	
60	12	1	69.2587	0.938463	
61	12	1	66.6896	1.01612	
62	12	1	47.0247	0.837693	
63	12	1	68.8396	1.1291	
64	12	1	31.0402	0.95692	
65	12	1	48.5396	0.89516	
66	12	1	41.0904	0.916051	
67	12	1	55.7328	0.969447	
68	12	1	78.313	0.90245	
69	12	1	74.4621	0.894818	
70	12	1	65.4202	0.84397	
71	12	1	75.472	0.871387	
72	12	1	61.1513	0.813476	
73	12	1	73.4534	0.921589	
74	12	1	50.4211	0.887155	
75	12	1	56.279	0.929743	
76	12	1	47.7753	0.928448	
77	12	1	68.5366	0.877999	
78	12	1	42.9922	0.907002	
79	12	1	33.144	0.933401	
80	12	1	61.1329	0.955982	
81	12	1	58.0908	0.922665	
55	13	1	25.1315	0.982974	
56	13	1	15.8941	1.06474	
57	13	1	29.846	0.952617	
58	13	1	48.2524	0.88583	
59	13	1	48.3985	0.966082	
60	13	1	51.5063	0.959721	
61	13	1	58.8392	0.870551	
62	13	1	46.9667	0.873475	
63	13	1	44.3514	0.896528	
64	13	1	45.6436	0.869286	
65	13	1	47.9442	0.897472	
66	13	1	53.7311	1.0092	
67	13	1	48.9377	0.879245	
68	13	1	66.0831	0.860573	
69	13	1	88.2903	1.0126	
70	13	1	62.772	1.00191	
71	13	1	54.0195	0.932978	
72	13	1	61.1687	0.847449	
73	13	1	52.6535	1.00227	
74	13	1	46.4097	0.886827	
75	13	1	58.705	1.07584	
76	13	1	63.6029	0.902512	
77	13	1	56.4014	0.879642	
78	13	1	33.3123	0.915469	
79	13	1	27.9186	0.916983	
80	13	1	63.8373	0.90523	
81	13	1	59.6629	0.885957	
82	13	1	80.1722	0.880409	
53	14	1	56.3579	0.90047	
54	14	1	46.8545	0.846138	
55	14	1	23.6984	0.87644	
56	14	1	35.5223	0.983229	
57	14	1	46.2241	0.896335	
58	14	1	63.5383	0.893811	
59	14	1	48.822	0.905367	
60	14	1	59.1972	0.900517	
61	14	1	61.2742	0.882579	
62	14	1	47.0242	0.905449	
63	14	1	54.427	0.8715	
64	14	1	49.4892	0.901878	
65	14	1	45.1913	0.904406	
66	14	1	61.6465	1.00133	
67	14	1	31.5099	0.855094	
68	14	1	45.6664	0.864023	
69	14	1	58.2265	0.907445	
70	14	1	50.7993	0.847646	
71	14	1	43.0308	0.898207	
72	14	1	47.1612	0.899073	
73	14	1	64.3514	0.925915	
74	14	1	87.5161	0.91007	
75	14	1	67.7173	0.883525	
76	14	1	72.9249	0.924614	
77	14	1	66.5927	0.89062	
78	14	1	51.1204	0.900734	
79	14	1	39.7731	0.969885	
80	14	1	49.2389	0.933201	
81	14	1	69.7918	1.00434	
82	14	1	90.02	0.820689	
51	15	1	69.9338	0.876551	
52	15	1	57.3114	0.91617	
53	15	1	43.9706	0.880881	
54	15	1	38.0385	0.901841	
55	15	1	28.0458	0.88752	
56	15	1	20.6332	0.891005	
57	15	1	52.1393	0.913377	
58	15	1	62.2516	0.902242	
59	15	1	31.5809	0.908367	
60	15	1	44.2116	0.909671	
61	15	1	47.0376	0.865458	
62	15	1	57.0022	0.962756	
63	15	1	47.5839	1.00275	
64	15	1	59.9706	0.905577	
65	15	1	33.518	0.859372	
66	15	1	50.9485	0.806405	
67	15	1	56.6426	0.840215	
68	15	1	54.1417	0.88611	
69	15	1	64.3209	0.903672	
70	15	1	61.0091	0.801654	
71	15	1	56.4418	0.877479	
72	15	1	53.1487	0.887606	
73	15	1	84.8577	0.948163	
74	15	1	58.3812	0.925164	
75	15	1	62.4589	0.952668	
76	15	1	40.868	0.907294	
77	15	1	47.6231	0.914663	
78	15	1	36.7659	0.854715	
79	15	1	37.5393	0.946644	
80	15	1	49.633	0.858975	
81	15	1	64.4442	0.869301	
82	15	1	80.5725	0.946832	
83	15	1	67.5247	0.919281	
49	16	1	52.9736	0.977054	
50	16	1	64.5076	0.9791	
51	16	1	57.9278	0.885221	
52	16	1	49.952	1.05957	
