# ASCII file created 2001/8/2 (19:45:48)  


[ Rich Mapping Parameters Setup ]

MaxPads MaxRows MaxCols MaxRCs MaxPorts MaxModules MaxChannels UnconnCh 
4712	96	96	2	8	5	64	88	

[ Rich Mapping Parameters ]

Col	Row	RC	Port	Module	Channel	
44	13	0	0	0	0	
45	13	0	0	0	1	
40	11	0	0	0	2	
41	11	0	0	0	3	
37	10	0	0	0	4	
38	10	0	0	0	5	
39	10	0	0	0	6	
40	10	0	0	0	7	
44	12	0	0	0	8	
45	12	0	0	0	9	
43	12	0	0	0	10	
41	10	0	0	0	11	
42	11	0	0	0	12	
38	9	0	0	0	13	
39	9	0	0	0	14	
40	9	0	0	0	15	
41	9	0	0	0	16	
43	11	0	0	0	17	
44	11	0	0	0	18	
45	11	0	0	0	19	
38	8	0	0	0	20	
39	8	0	0	0	21	
40	8	0	0	0	22	
41	8	0	0	0	23	
39	7	0	0	0	24	
40	7	0	0	0	25	
41	7	0	0	0	26	
43	10	0	0	0	27	
42	10	0	0	0	28	
42	9	0	0	0	29	
44	10	0	0	0	30	
45	10	0	0	0	31	
42	8	0	0	0	32	
42	7	0	0	0	33	
39	6	0	0	0	34	
40	6	0	0	0	35	
41	6	0	0	0	36	
42	6	0	0	0	37	
40	5	0	0	0	38	
41	5	0	0	0	39	
44	9	0	0	0	40	
45	9	0	0	0	41	
42	5	0	0	0	42	
43	9	0	0	0	43	
40	4	0	0	0	44	
41	4	0	0	0	45	
42	4	0	0	0	46	
43	8	0	0	0	47	
43	7	0	0	0	48	
41	3	0	0	0	49	
44	8	0	0	0	50	
43	1	0	0	0	51	
43	6	0	0	0	52	
45	8	0	0	0	53	
43	5	0	0	0	54	
43	2	0	0	0	55	
42	3	0	0	0	56	
43	3	0	0	0	57	
42	2	0	0	0	58	
43	4	0	0	0	59	
42	1	0	0	0	60	
44	6	0	0	0	61	
44	7	0	0	0	62	
45	7	0	0	0	63	
47	11	0	0	1	0	
48	11	0	0	1	1	
44	5	0	0	1	2	
51	5	0	0	1	3	
44	4	0	0	1	4	
51	4	0	0	1	5	
44	3	0	0	1	6	
51	3	0	0	1	7	
46	10	0	0	1	8	
49	10	0	0	1	9	
44	2	0	0	1	10	
51	2	0	0	1	11	
44	1	0	0	1	12	
51	1	0	0	1	13	
47	10	0	0	1	14	
48	10	0	0	1	15	
46	9	0	0	1	16	
49	9	0	0	1	17	
45	6	0	0	1	18	
50	6	0	0	1	19	
45	5	0	0	1	20	
50	5	0	0	1	21	
47	9	0	0	1	22	
48	9	0	0	1	23	
45	4	0	0	1	24	
50	4	0	0	1	25	
45	3	0	0	1	26	
50	3	0	0	1	27	
45	2	0	0	1	28	
50	2	0	0	1	29	
45	1	0	0	1	30	
50	1	0	0	1	31	
46	8	0	0	1	32	
49	8	0	0	1	33	
47	8	0	0	1	34	
48	8	0	0	1	35	
46	7	0	0	1	36	
49	7	0	0	1	37	
46	6	0	0	1	38	
49	6	0	0	1	39	
46	5	0	0	1	40	
49	5	0	0	1	41	
46	4	0	0	1	42	
